job_id,state,zombie_head,since_id_str,query,description,last_count,last_run,analysis_state,oauth_id
284,25,9,8.54113E+17,"q=&geocode=39.9525839,-75.1652215,40km","Philadelphia, Pennsylvania",2471,4/17/17 18:28,0,7
285,26,10,8.54117E+17,"q=&geocode=40.6096698,-111.9391031,40km","West Jordan, Utah",1031,4/17/17 18:39,0,8
286,27,1,8.54115E+17,"q=&geocode=36.0998596,-80.24421600000001,40km","Winston Salem, North Carolina",1186,4/17/17 18:34,0,4
287,28,2,8.54115E+17,"q=&geocode=32.5251516,-93.75017890000001,40km","Shreveport, Louisiana",77,4/17/17 18:29,0,5
288,29,3,8.54112E+17,"q=&geocode=31.7618778,-106.48502169999999,40km","El Paso, Texas",912,4/17/17 18:19,0,6
289,30,4,8.54115E+17,"q=&geocode=33.5206608,-86.80249,40km","Birmingham, Alabama",98,4/17/17 18:31,0,7
290,31,5,8.54113E+17,"q=&geocode=42.8864468,-78.8783689,40km","Buffalo, New York",2203,4/17/17 18:27,0,8
291,32,6,8.54115E+17,"q=&geocode=40.7127837,-74.00594129999999,40km","New York City, New York",4795,4/17/17 18:37,0,4
292,33,7,8.5411E+17,"q=&geocode=37.9715592,-87.5710898,40km","Evansville, Indiana",797,4/17/17 18:10,0,5
293,34,8,8.54117E+17,"q=&geocode=32.776474900000004,-79.9310512,40km","Charleston, South Carolina",1034,4/17/17 18:40,0,6
294,35,9,8.54116E+17,"q=&geocode=44.953702899999996,-93.0899578,40km","Saint Paul, Minnesota",2999,4/17/17 18:39,0,7
295,36,10,8.54113E+17,"q=&geocode=45.5001357,-122.43020130000001,40km","Gresham, Oregon",2185,4/17/17 18:27,0,8
296,37,1,8.54109E+17,"q=&geocode=38.804835499999996,-77.0469214,40km","Alexandria, Virginia",7257,4/17/17 18:16,0,4
297,38,2,8.54116E+17,"q=&geocode=29.7604267,-95.36980279999999,40km","Houston, Texas",1596,4/17/17 18:37,0,5
298,39,3,8.5411E+17,"q=&geocode=40.6936488,-89.58898640000001,40km","Peoria, Illinois",322,4/17/17 18:13,0,6
299,40,4,8.54113E+17,"q=&geocode=32.8546197,-79.9748103,40km","North Charleston, South Carolina",1235,4/17/17 18:23,0,7
300,41,5,8.54116E+17,"q=&geocode=40.233843799999995,-111.6585337,40km","Provo, Utah",558,4/17/17 18:37,0,8
301,42,6,8.54118E+17,"q=&geocode=35.222566799999996,-97.4394777,40km","Norman, Oklahoma",598,4/17/17 18:43,0,4
302,43,7,8.5411E+17,"q=&geocode=33.4734978,-82.0105148,40km","Augusta, Georgia",861,4/17/17 18:12,0,5
303,44,8,8.54113E+17,"q=&geocode=47.6062095,-122.33207079999998,40km","Seattle, Washington",7793,4/17/17 18:34,0,6
304,45,9,8.54111E+17,"q=&geocode=35.99403289999999,-78.898619,40km","Durham, North Carolina",11,4/17/17 18:15,0,7
305,46,10,8.54108E+17,"q=&geocode=39.768403,-86.158068,40km","Indianapolis, Indiana",2692,4/17/17 18:07,0,8
